"emp_code","emp_desc","title_sv","title_en","cat_desc","is_uf_ta"
"00255","Administrativ chef","Administrativ chef","Head of Administration","Administrativ personal","TA"
"00280","Administratör","Administratör","Administrator","Administrativ personal","TA"
"00296","Senior administratör","Senior administratör","Administrator","Administrativ personal","TA"
"00920","Amanuens","Amanuens","Teaching assistant","Annan forskande och undervisande personal","UF"
"03540","Intermittent","Intermittent","Temporary employee","Arvodister","TA"
"03680","Assistent","Assistent","Assistant","Administrativ personal","TA"
"04340","Avdelningschef","Avdelningschef","Unit manager","Administrativ personal","TA"
"07420","Bibliotekarie","Bibliotekarie","Librarian","Bibliotekspersonal","TA"
"07480","Biblioteksassistent","Biblioteksassistent","Assistant librarian","Bibliotekspersonal","TA"
"16848","Doktorand","Doktorand","Doctoral student","Doktorander",NA
"18167","Ekonomiansvarig","Ekonomiansvarig","Finance manager","Administrativ personal","TA"
"18220","Ekonomichef","Ekonomichef","Chief Financial Officer","Administrativ personal","TA"
"18701","Enhetschef","Enhetschef","Head of Division","Administrativ personal","TA"
"22600","Fofu-ingenjör","Fofu-ingenjör","Doctoral student","Doktorander",NA
"23150","Forskare","Forskare","Researcher","Annan forskande och undervisande personal","UF"
"23400","Forskningsingenjör","Forskningsingenjör","Research engineer","Teknisk personal","TA"
"26040","Föreståndare","Föreståndare","Director","Administrativ personal","TA"
"28465","Förvaltningschef","Förvaltningschef","Head of Administration","Administrativ personal","TA"
"29310","Gruppchef","Gruppchef","Group manager","Administrativ personal","TA"
"29950","Gästlärare","Gästlärare","Guest Lecturer","Annan forskande och undervisande personal","UF"
"30283","Handläggare","Handläggare","Administrator","Administrativ personal","TA"
"30314","Handläggare, kvalificerad","Handläggare, kvalificerad","Administrator","Administrativ personal","TA"
"31029","HR-ansvarig","HR-ansvarig","Human resources manager","Administrativ personal","TA"
"33220","Informatiker","Informatiker","Information specialist","Administrativ personal","TA"
"33290","Ingenjör","Ingenjör","Engineer","Teknisk personal","TA"
"34906","IT-chef","IT-chef","IT director","Teknisk personal","TA"
"34915","IT-tekniker","IT-tekniker","IT technichian","Teknisk personal","TA"
"39920","Konsult","Konsult","Consultant","Administrativ personal","TA"
"47720","Lokalvårdare","Lokalvårdare","Janitor","Teknisk personal","TA"
"60470","Personalchef","Personalchef","Human resources manager","Administrativ personal","TA"
"62390","Postdoktor","Postdoktor","Postdoc","Meriteringsanställning","UF"
"63820","Professor","Professor","Professor","Professorer","UF"
"63825","Professor, adjungerad","Professor, adjungerad","Professor, adjunct","Professorer","UF"
"63865","Professor, gäst","Professor, gäst","Professor, visiting","Professorer","UF"
"63866","Professor, kallad","Professor, kallad","Professor, called","Professorer","UF"
"63893","Senior professor","Professor, senior","Professor","Professorer","UF"
"64312","Prorektor","Prorektor","Deputy President","Administrativ personal","TA"
"66710","Rektor","Rektor","President","Administrativ personal","TA"
"70928","Senior lärare","Senior lärare","Senior lecturer","Annan forskande och undervisande personal","UF"
"70933","Senior forskare","Senior forskare","Senior researcher","Annan forskande och undervisande personal","UF"
"75070","Specialist","Specialist","Specialist","Administrativ personal","TA"
"79185","Studentmedarbetare","Studentmedarbetare","Student staff","Administrativ personal","TA"
"79450","Studievägledare","Studievägledare","Study councellor","Administrativ personal","TA"
"80411","Systemadministratör","Systemadministratör","System administrator","Teknisk personal","TA"
"80412","Systemansvarig","Systemansvarig","Systems manager","Teknisk personal","TA"
"80562","Systemspecialist","Systemspecialist","System specialist","Teknisk personal","TA"
"80673","Säkerhetschef","Säkerhetschef","Security manager","Administrativ personal","TA"
"82270","Tekniker","Tekniker","Technician","Teknisk personal","TA"
"88620","Universitetsadjunkt","Universitetsadjunkt","Lecturer","Adjunkter","UF"
"88630","Universitetsdirektör","Universitetsdirektör","University Director","Administrativ personal","TA"
"88696","Senior Universitetslektor","Universitetslektor, senior","Associate professor","Lektorer","UF"
"88700","Universitetslektor","Universitetslektor","Associate professor","Lektorer","UF"
"88713","Universitetslektor, bitr","Universitetslektor, biträdande","Assistant professor","Meriteringsanställning","UF"
"88850","Uppdragstagare","Uppdragstagare","Contractor",NA,NA
"89204","Utbildningsadm ansvarig","Utbildningssamordnare/enhetsledare","Education administration manager","Administrativ personal","TA"
"90640","Vaktmästare","Vaktmästare","Janitor","Teknisk personal","TA"
"92020","Vicerektor","Vicerektor","Vice President","Administrativ personal","TA"
"95470","Överbibliotekarie","Överbibliotekarie","University Librarian","Bibliotekspersonal","TA"
"99999","Stipendiat","Stipendiat","Scholarship holder",NA,NA
"AFFAK","Affilierad fakultet","Affilierad Fakultet","Affiliated faculty",NA,NA
"AFFIL","Affilierad professor","Affilierad professor","Professor, affiliated",NA,NA
"ANKNU","Anknuten","Anknuten","Affiliated",NA,NA
"INDOK","Industridoktorand","Industridoktorand","Doctoral student, industry",NA,NA
"29940","Gästforskare","Gästforskare","Guest researcher","Annan forskande och undervisande personal","UF"
"15930","Director Musices","Director Musices","Director Musices","Teknisk personal","TA"
